 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Região/Unidade da Federação e Imuno
Período:2005
"Região/Unidade da Federação";"072 BCG";"073 Hepatite B";"074 Poliomielite";"006 Febre Amarela";"021 Tríplice Viral  D1";"075 DTP";"Total"
"Região Norte";132,45;98,14;109,83;97,61;110,21;105,49;95,04
".. Rondônia";109,69;101,90;110,25;105,13;115,99;108,70;93,16
".. Acre";110,46;82,15;94,05;79,37;95,12;89,71;78,70
".. Amazonas";130,49;85,09;90,97;89,07;104,03;92,16;84,54
".. Roraima";107,16;87,62;100,22;95,09;116,01;95,90;94,35
".. Pará";146,91;106,42;123,42;103,10;116,35;115,02;104,00
".. Amapá";123,56;91,32;99,70;90,31;99,34;96,39;93,78
".. Tocantins";110,81;102,76;106,26;99,84;101,00;105,36;89,43
"Região Nordeste";120,85;100,41;107,97;46,25;110,56;105,55;86,50
".. Maranhão";132,83;100,16;112,95;102,16;113,67;105,29;97,20
".. Piauí";108,98;94,83;102,53;94,41;102,50;100,45;86,52
".. Ceará";118,57;106,33;110,62;0,08;110,35;108,53;82,49
".. Rio Grande do Norte";112,21;94,62;98,43;1,34;100,34;97,04;74,80
".. Paraíba";125,97;101,24;104,78;0,26;107,30;104,07;77,66
".. Pernambuco";117,31;99,31;109,70;1,21;109,15;106,07;79,26
".. Alagoas";118,76;97,95;103,22;0,07;110,17;104,69;76,41
".. Sergipe";104,81;90,63;97,17;0,01;93,82;97,12;71,65
".. Bahia";124,43;102,38;109,82;103,64;117,98;108,77;97,97
"Região Sudeste";108,78;98,44;103,81;31,18;104,77;101,04;84,05
".. Minas Gerais";108,89;101,94;105,86;101,79;107,46;106,00;93,46
".. Espírito Santo";108,75;103,15;112,11;34,60;110,12;107,42;83,57
".. Rio de Janeiro";115,50;96,53;118,98;0,34;107,75;101,96;82,08
".. São Paulo";106,30;97,17;96,74;10,50;102,04;97,95;80,37
"Região Sul";103,65;96,07;99,27;4,03;100,65;99,67;74,73
".. Paraná";104,32;97,17;99,65;0,22;99,78;99,88;74,49
".. Santa Catarina";103,14;98,75;101,37;9,28;101,01;102,01;77,73
".. Rio Grande do Sul";103,22;93,33;97,64;5,17;101,40;98,11;73,32
"Região Centro-Oeste";111,93;95,29;103,94;81,02;104,59;102,63;88,30
".. Mato Grosso do Sul";102,71;95,83;100,48;93,86;97,99;100,56;88,24
".. Mato Grosso";113,86;96,64;112,94;100,02;109,58;105,31;93,64
".. Goiás";116,34;94,89;104,03;104,93;106,42;105,84;94,35
".. Distrito Federal";109,26;94,07;96,60;0,09;101,14;95,06;70,84
"Ignorado/Exterior";...;...;...;...;...;...;...
"Total";114,48;98,46;105,12;42,95;106,55;102,82;85,10
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

