 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Região/Unidade da Federação e Imuno
Período:2006
"Região/Unidade da Federação";"072 BCG";"061 Rotavírus Humano";"073 Hepatite B";"074 Poliomielite";"006 Febre Amarela";"021 Tríplice Viral  D1";"075 DTP";"Total"
"Região Norte";130,46;32,04;99,24;106,91;97,31;107,95;103,27;87,94
".. Rondônia";121,15;51,00;114,10;122,13;119,70;125,36;120,48;96,74
".. Acre";116,02;17,60;85,93;94,66;83,81;90,84;88,14;76,39
".. Amazonas";127,52;33,21;86,34;89,85;92,13;103,37;91,34;83,30
".. Roraima";115,45;36,94;84,80;90,94;90,78;94,23;89,81;81,55
".. Pará";140,16;26,51;105,30;116,22;98,62;113,05;109,03;91,23
".. Amapá";121,68;34,28;90,84;94,36;85,89;90,41;92,58;82,35
".. Tocantins";111,61;48,48;105,93;108,91;100,70;100,96;108,74;85,67
"Região Nordeste";119,21;40,50;103,25;109,08;47,51;109,25;107,33;81,51
".. Maranhão";138,46;32,94;106,39;114,26;106,79;110,54;108,90;91,37
".. Piauí";109,07;37,71;101,69;107,62;99,73;104,90;105,17;86,07
".. Ceará";110,12;41,73;104,35;109,21;0,31;105,30;106,60;75,00
".. Rio Grande do Norte";117,69;35,21;102,00;102,95;0,94;107,58;103,88;73,70
".. Paraíba";125,87;54,39;107,08;111,07;0,34;112,97;110,69;77,80
".. Pernambuco";116,60;43,30;101,79;109,60;0,33;110,07;108,05;73,77
".. Alagoas";117,42;31,33;99,90;103,88;0,13;103,90;104,81;70,17
".. Sergipe";106,32;51,96;94,47;99,51;0,04;95,89;99,04;70,65
".. Bahia";119,03;40,81;103,71;109,76;103,70;114,49;108,83;91,58
"Região Sudeste";106,88;55,11;98,67;102,68;31,72;102,81;100,59;79,92
".. Minas Gerais";106,77;57,15;103,54;105,99;102,50;105,77;106,14;89,21
".. Espírito Santo";106,40;59,60;103,09;112,45;36,40;109,37;106,75;80,18
".. Rio de Janeiro";113,78;48,58;96,12;103,95;0,22;102,12;97,94;74,00
".. São Paulo";104,46;56,19;97,07;99,93;11,50;101,19;98,58;77,80
"Região Sul";102,79;49,71;98,28;101,31;20,95;100,97;101,92;74,97
".. Paraná";104,35;50,13;100,81;103,49;42,28;101,21;104,15;79,47
".. Santa Catarina";101,15;57,21;98,63;101,03;9,03;100,38;101,88;74,54
".. Rio Grande do Sul";102,08;44,76;95,34;99,10;4,91;101,05;99,54;70,42
"Região Centro-Oeste";112,89;41,75;101,88;107,56;85,29;106,60;106,21;86,57
".. Mato Grosso do Sul";104,31;55,34;102,21;104,61;99,21;104,28;105,03;88,74
".. Mato Grosso";111,97;28,84;98,85;109,60;105,44;109,83;106,10;86,56
".. Goiás";117,71;33,82;104,46;110,61;109,79;109,78;110,14;93,61
".. Distrito Federal";112,04;59,79;99,85;101,83;1,60;98,91;99,61;71,79
"Ignorado/Exterior";...;...;...;...;...;...;...;...
"Total";113,06;46,52;100,30;105,25;46,17;105,35;103,50;81,14
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

