 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Região/Unidade da Federação e Imuno
Período:2009
"Região/Unidade da Federação";"072 BCG";"061 Rotavírus Humano";"073 Hepatite B";"074 Poliomielite";"006 Febre Amarela";"021 Tríplice Viral  D1";"075 DTP";"Total"
"Região Norte";120,59;72,27;101,42;104,79;101,88;109,54;102,34;93,44
".. Rondônia";107,64;88,70;106,68;111,99;102,31;102,29;115,07;96,91
".. Acre";109,37;68,67;97,63;110,91;97,22;103,45;100,57;90,36
".. Amazonas";120,83;65,02;93,92;93,57;94,48;103,13;96,92;89,32
".. Roraima";101,81;75,68;99,60;103,67;100,57;100,61;105,63;93,08
".. Pará";128,81;69,93;104,32;106,11;107,97;117,62;101,73;94,96
".. Amapá";115,77;78,41;100,73;126,11;88,54;100,57;104,15;97,10
".. Tocantins";104,01;88,02;105,74;107,81;100,37;103,00;107,86;93,43
"Região Nordeste";112,72;84,51;102,92;105,88;46,05;108,28;105,45;85,35
".. Maranhão";132,63;78,26;106,02;112,14;102,89;118,10;108,78;97,46
".. Piauí";104,48;89,68;102,30;103,42;99,89;102,35;103,01;91,18
".. Ceará";108,08;90,97;103,63;105,70;0,15;105,67;106,45;78,08
".. Rio Grande do Norte";110,28;76,46;97,95;95,99;0,37;101,01;98,68;74,91
".. Paraíba";118,19;87,41;105,20;110,05;0,37;104,40;106,62;82,37
".. Pernambuco";112,83;90,73;105,14;108,60;0,42;111,23;107,87;79,60
".. Alagoas";113,67;79,38;103,26;106,07;0,28;105,33;106,03;77,46
".. Sergipe";101,53;92,20;103,22;105,73;0,08;102,66;105,63;79,14
".. Bahia";106,66;79,97;99,78;102,30;100,51;108,09;102,99;91,77
"Região Sudeste";104,01;89,29;98,41;102,84;33,06;100,24;99,05;86,58
".. Minas Gerais";103,35;95,33;103,78;105,19;103,28;105,45;105,71;100,41
".. Espírito Santo";101,14;94,48;102,15;107,32;10,73;102,47;104,76;82,33
".. Rio de Janeiro";109,58;80,26;93,05;109,39;0,44;96,69;95,03;79,17
".. São Paulo";102,51;89,57;97,76;99,10;17,18;99,13;97,20;83,88
"Região Sul";101,73;88,55;97,34;99,00;45,17;99,08;98,97;84,91
".. Paraná";103,68;89,67;98,93;100,36;78,03;100,19;100,77;90,56
".. Santa Catarina";102,37;94,04;100,62;102,55;10,71;103,11;102,55;84,50
".. Rio Grande do Sul";99,16;83,88;93,50;95,28;30,01;95,32;94,72;78,93
"Região Centro-Oeste";111,74;90,08;101,70;105,26;82,43;103,31;104,25;91,01
".. Mato Grosso do Sul";104,29;91,64;102,63;106,10;100,52;102,13;106,99;93,77
".. Mato Grosso";111,47;89,58;103,30;107,67;103,51;104,65;106,03;96,49
".. Goiás";115,63;88,49;101,53;105,20;102,64;106,90;104,03;94,99
".. Distrito Federal";111,11;92,34;99,42;101,97;2,81;95,78;100,25;75,46
"Ignorado/Exterior";...;...;...;...;...;...;...;...
"Total";108,71;85,99;100,20;103,66;49,69;103,74;101,71;87,09
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

