 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Região/Unidade da Federação e Imuno
Período:1997
"Região/Unidade da Federação";"072 BCG";"073 Hepatite B";"074 Poliomielite";"006 Febre Amarela";"075 DTP";"018 Sarampo";"009 Haemophilus influenzae b";"Total"
"Região Norte";114,40;12,82;69,68;50,81;68,11;101,38;-;59,60
".. Rondônia";120,42;37,92;92,83;97,43;93,57;105,09;-;78,18
".. Acre";95,83;13,15;78,74;85,83;43,39;93,04;-;58,57
".. Amazonas";109,65;12,19;85,73;74,31;58,65;106,45;-;63,85
".. Roraima";129,41;30,93;81,69;53,11;73,65;110,31;-;68,44
".. Pará";118,54;5,14;49,71;29,26;65,34;95,61;-;51,94
".. Amapá";88,07;11,79;86,57;10,54;79,00;92,11;-;52,58
".. Tocantins";112,98;24,80;100,46;60,35;84,82;122,72;-;72,30
"Região Nordeste";115,79;0,14;84,65;2,49;66,63;101,22;-;52,99
".. Maranhão";118,82;0,47;62,35;18,40;47,81;102,07;-;49,99
".. Piauí";106,74;-;62,77;0,69;53,58;76,72;-;42,93
".. Ceará";131,62;0,00;109,36;-;82,96;131,76;-;65,10
".. Rio Grande do Norte";102,44;0,01;75,44;0,49;77,64;95,16;-;50,17
".. Paraíba";110,13;0,02;85,18;-;79,53;94,59;-;52,78
".. Pernambuco";138,95;0,35;128,05;0,07;75,26;122,51;-;66,46
".. Alagoas";89,31;0,10;50,12;0,11;32,92;65,19;-;33,96
".. Sergipe";124,60;0,03;98,86;-;94,67;106,09;-;60,61
".. Bahia";102,44;0,06;68,03;0,03;62,22;86,02;-;45,54
"Região Sudeste";120,77;1,62;96,64;0,19;85,76;120,73;0,00;60,82
".. Minas Gerais";94,43;0,02;76,28;0,29;65,33;108,07;0,00;49,20
".. Espírito Santo";112,42;34,50;98,38;2,32;98,39;105,21;-;64,46
".. Rio de Janeiro";129,97;0,34;98,15;0,06;78,89;105,80;0,00;59,03
".. São Paulo";132,00;-;106,69;-;98,02;134,43;-;67,31
"Região Sul";110,19;24,27;94,62;0,12;91,70;109,91;0,23;61,58
".. Paraná";110,91;47,95;97,90;0,27;96,85;122,89;0,48;68,18
".. Santa Catarina";115,99;21,72;94,32;0,03;83,40;107,62;0,16;60,46
".. Rio Grande do Sul";106,21;0,10;91,24;0,02;90,72;97,15;-;55,06
"Região Centro-Oeste";120,80;6,90;85,90;29,55;79,65;83,98;0,00;58,11
".. Mato Grosso do Sul";120,67;0,16;80,17;51,61;79,41;83,04;-;59,29
".. Mato Grosso";119,89;0,34;104,25;29,89;91,60;103,39;-;64,19
".. Goiás";108,98;1,20;68,33;31,83;61,32;113,82;-;55,07
".. Distrito Federal";146,75;32,44;107,50;4,02;104,94;0,42;0,00;56,58
"Ignorado/Exterior";...;...;...;...;...;...;...;...
"Total";117,12;5,79;89,27;7,84;78,50;108,61;0,03;58,17
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

