 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Região/Unidade da Federação e Imuno
Período:2008
"Região/Unidade da Federação";"072 BCG";"061 Rotavírus Humano";"073 Hepatite B";"074 Poliomielite";"006 Febre Amarela";"021 Tríplice Viral  D1";"075 DTP";"Total"
"Região Norte";120,07;64,28;96,17;101,20;95,30;105,13;98,15;88,81
".. Rondônia";105,86;80,83;100,19;105,98;104,43;103,49;107,81;92,31
".. Acre";108,57;55,22;88,30;94,64;86,29;94,17;88,35;80,92
".. Amazonas";121,18;57,82;86,98;87,06;87,54;101,56;90,15;84,43
".. Roraima";95,06;66,15;81,84;89,57;91,82;95,51;86,71;82,06
".. Pará";127,68;62,21;102,19;109,56;100,04;111,83;102,06;92,10
".. Amapá";115,66;68,14;91,22;97,10;85,69;93,02;98,37;87,78
".. Tocantins";107,30;81,45;97,43;99,83;93,89;96,40;99,57;86,67
"Região Nordeste";112,47;78,75;98,35;101,75;44,15;103,36;101,15;81,86
".. Maranhão";134,02;69,23;101,16;108,01;100,20;113,90;106,78;94,01
".. Piauí";106,17;84,11;99,19;100,04;98,40;100,90;100,52;89,14
".. Ceará";107,02;88,77;101,68;105,37;0,18;103,02;103,55;76,27
".. Rio Grande do Norte";108,39;71,81;91,43;92,36;0,25;94,73;92,59;72,07
".. Paraíba";123,87;82,82;97,95;101,47;0,50;102,50;101,03;77,53
".. Pernambuco";113,27;85,30;102,32;106,67;0,49;105,71;104,85;77,94
".. Alagoas";101,06;68,16;88,86;90,87;0,21;92,94;90,98;66,63
".. Sergipe";104,40;88,18;98,65;99,94;0,08;99,53;100,70;76,45
".. Bahia";106,30;74,28;96,03;98,45;94,85;102,05;98,86;87,65
"Região Sudeste";104,82;86,06;94,78;99,88;31,12;97,08;95,67;82,51
".. Minas Gerais";103,68;91,39;99,11;99,56;96,49;98,69;100,32;90,71
".. Espírito Santo";100,79;90,85;98,36;104,58;33,54;100,36;100,29;82,20
".. Rio de Janeiro";108,64;76,19;87,94;108,31;0,75;95,46;90,48;75,85
".. São Paulo";104,30;86,87;95,05;96,60;13,43;96,68;95,12;81,28
"Região Sul";101,02;84,56;93,63;95,35;34,09;95,24;95,62;79,46
".. Paraná";102,97;85,74;95,12;96,32;73,41;94,48;97,06;85,21
".. Santa Catarina";100,88;88,65;94,93;96,82;8,87;96,43;97,12;78,73
".. Rio Grande do Sul";98,94;80,68;91,14;93,33;6,05;95,32;93,06;73,52
"Região Centro-Oeste";112,53;84,89;97,28;101,96;91,82;99,44;100,71;89,81
".. Mato Grosso do Sul";102,39;84,78;93,00;96,87;89,76;92,66;97,14;86,71
".. Mato Grosso";112,73;81,76;96,31;104,55;102,78;100,37;99,50;90,56
".. Goiás";119,52;85,50;100,32;104,30;107,55;106,10;105,12;96,83
".. Distrito Federal";107,92;87,30;96,36;99,18;50,24;91,52;96,66;78,65
"Ignorado/Exterior";...;...;...;...;...;...;...;...
"Total";108,91;81,18;96,06;100,18;47,09;99,81;97,98;83,18
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

