 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Região/Unidade da Federação e Imuno
Período:2003
"Região/Unidade da Federação";"072 BCG";"073 Hepatite B";"074 Poliomielite";"006 Febre Amarela";"021 Tríplice Viral  D1";"075 DTP";"018 Sarampo";"009 Haemophilus influenzae b";"Total"
"Região Norte";115,16;83,23;105,89;95,33;113,08;2,05;2,68;0,87;57,53
".. Rondônia";97,42;86,75;93,97;93,86;115,24;0,34;7,82;0,37;55,05
".. Acre";121,07;94,58;131,65;95,36;99,40;3,15;-;0,64;60,61
".. Amazonas";109,89;68,57;85,63;84,35;91,30;2,55;5,39;1,71;49,97
".. Roraima";105,42;78,41;86,46;96,17;110,22;1,87;10,44;0,52;53,67
".. Pará";122,87;86,50;118,52;99,85;124,98;2,47;-;0,76;61,68
".. Amapá";123,55;86,50;98,44;97,89;114,50;-;0,83;-;57,73
".. Tocantins";102,09;96,67;102,04;101,33;115,03;0,65;4,05;0,34;58,05
"Região Nordeste";111,70;92,35;99,99;44,20;111,75;1,62;8,21;1,71;52,31
".. Maranhão";119,88;84,96;99,51;97,72;102,32;0,49;24,56;2,71;58,92
".. Piauí";101,91;88,93;103,72;85,48;111,58;2,29;7,22;3,15;55,97
".. Ceará";103,20;97,22;98,78;0,17;119,11;0,24;3,60;0,79;46,88
".. Rio Grande do Norte";113,32;97,58;97,37;2,01;116,80;2,55;2,94;2,39;48,46
".. Paraíba";109,52;94,77;98,24;0,30;108,34;2,73;0,02;1,81;46,05
".. Pernambuco";126,01;101,58;113,81;8,57;119,59;-;5,38;-;52,98
".. Alagoas";115,74;94,88;100,75;0,03;99,05;2,02;2,90;0,96;46,13
".. Sergipe";104,74;102,71;107,79;0,43;132,46;-;2,39;0,06;50,11
".. Bahia";106,68;85,32;92,07;88,79;107,79;3,47;9,22;2,62;55,00
"Região Sudeste";104,80;92,66;98,75;10,79;114,86;1,26;2,24;2,12;47,58
".. Minas Gerais";91,92;83,43;87,11;20,26;103,62;0,58;0,98;0,65;43,15
".. Espírito Santo";110,03;108,10;119,51;5,97;126,19;2,05;3,79;1,98;53,32
".. Rio de Janeiro";111,00;87,30;111,46;0,47;114,46;3,39;0,76;3,02;47,98
".. São Paulo";108,87;98,29;98,31;10,08;119,88;0,73;3,35;2,58;49,28
"Região Sul";104,26;96,62;100,24;3,66;110,32;1,04;1,35;1,61;46,86
".. Paraná";105,89;99,26;103,38;0,17;107,13;1,82;1,22;2,54;47,15
".. Santa Catarina";101,99;100,70;101,54;8,66;115,37;0,29;0,50;0,92;48,01
".. Rio Grande do Sul";103,81;91,56;96,20;4,55;110,93;0,64;1,95;1,02;45,92
"Região Centro-Oeste";110,88;92,15;104,13;81,99;112,41;0,92;2,17;1,11;56,24
".. Mato Grosso do Sul";108,05;97,66;107,08;106,29;119,49;1,06;1,88;1,06;60,40
".. Mato Grosso";108,02;89,75;108,27;104,10;120,92;0,56;4,08;0,57;59,51
".. Goiás";111,28;92,24;104,13;99,84;109,98;1,43;2,30;1,18;58,16
".. Distrito Federal";115,71;90,01;96,96;0,72;101,66;0,17;0,02;1,62;45,17
"Ignorado/Exterior";...;...;...;...;...;...;...;...;...
"Total";108,47;92,00;100,48;34,68;112,95;1,41;4,06;1,72;50,68
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

