 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Região/Unidade da Federação e Imuno
Período:2000
"Região/Unidade da Federação";"072 BCG";"073 Hepatite B";"074 Poliomielite";"006 Febre Amarela";"021 Tríplice Viral  D1";"075 DTP";"018 Sarampo";"009 Haemophilus influenzae b";"Total"
"Região Norte";111,66;72,21;105,90;95,19;12,07;78,13;109,61;73,80;73,36
".. Rondônia";111,60;94,53;98,82;113,63;17,15;102,56;100,63;98,04;81,93
".. Acre";112,32;60,72;92,64;90,06;27,55;65,06;94,22;15,91;62,05
".. Amazonas";118,46;64,57;103,46;100,65;14,84;74,81;113,34;63,31;72,69
".. Roraima";187,41;122,90;134,10;141,29;25,35;128,99;135,75;112,36;109,79
".. Pará";103,54;63,75;109,25;85,95;10,14;68,19;111,86;77,61;70,34
".. Amapá";117,68;87,62;91,16;92,80;5,25;85,73;97,78;56,91;70,55
".. Tocantins";110,23;94,71;106,04;100,65;0,17;100,46;102,88;78,85;77,27
"Região Nordeste";114,28;85,68;97,15;43,39;65,03;89,93;105,92;67,14;74,28
".. Maranhão";122,28;64,93;80,98;99,63;82,66;73,67;103,22;25,17;72,44
".. Piauí";112,58;91,91;99,34;68,88;72,25;91,44;101,92;66,13;78,28
".. Ceará";113,38;96,84;101,39;27,21;85,19;99,03;111,04;77,32;79,04
".. Rio Grande do Norte";103,37;86,44;86,79;3,66;46,55;88,31;101,43;56,30;63,65
".. Paraíba";101,55;89,16;91,89;0,28;67,12;89,32;93,34;78,81;67,94
".. Pernambuco";124,76;93,22;114,08;9,01;29,21;94,54;115,01;78,72;73,17
".. Alagoas";116,01;82,28;94,25;1,35;11,13;87,81;99,61;67,63;62,43
".. Sergipe";114,80;101,48;101,90;10,14;94,08;100,48;112,06;94,64;81,06
".. Bahia";109,95;80,18;95,25;77,05;76,30;88,47;104,31;69,61;77,90
"Região Sudeste";110,69;98,23;102,07;18,97;97,54;99,82;106,76;105,26;82,15
".. Minas Gerais";112,72;111,31;106,70;46,58;92,70;105,43;108,91;96,71;86,78
".. Espírito Santo";106,13;97,75;108,53;45,99;68,74;100,14;103,79;92,25;80,37
".. Rio de Janeiro";109,09;84,27;93,98;5,30;89,41;91,19;101,26;92,13;74,07
".. São Paulo";110,70;97,24;102,35;8,55;105,38;100,35;108,05;115,43;83,12
"Região Sul";106,88;97,01;101,27;0,37;87,60;101,25;104,01;95,68;77,12
".. Paraná";111,17;99,61;104,42;0,32;91,12;103,96;110,32;107,57;80,94
".. Santa Catarina";106,23;96,26;102,57;0,56;95,57;103,08;107,03;106,93;79,80
".. Rio Grande do Sul";102,88;94,77;97,37;0,33;79,75;97,51;95,97;77,58;71,80
"Região Centro-Oeste";116,04;88,93;110,65;102,35;87,15;97,08;91,68;84,19;86,45
".. Mato Grosso do Sul";121,58;96,99;112,63;109,76;114,77;98,84;118,86;64,89;93,15
".. Mato Grosso";113,33;81,56;125,46;111,47;61,41;93,94;117,88;74,88;86,68
".. Goiás";108,76;90,71;107,12;143,05;82,19;96,90;111,76;85,98;91,83
".. Distrito Federal";128,74;86,83;99,53;5,65;101,96;99,45;0,03;107,26;69,94
"Ignorado/Exterior";...;...;...;...;...;...;...;...;...
"Total";111,74;91,08;101,44;37,14;77,50;94,71;105,35;87,85;78,53
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

