 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Região/Unidade da Federação e Imuno
Período:1998
"Região/Unidade da Federação";"072 BCG";"073 Hepatite B";"074 Poliomielite";"006 Febre Amarela";"075 DTP";"018 Sarampo";"009 Haemophilus influenzae b";"Total"
"Região Norte";99,02;28,07;88,22;91,68;70,77;72,89;0,00;64,38
".. Rondônia";122,22;90,79;104,67;115,31;105,92;103,70;-;91,80
".. Acre";99,73;28,87;71,71;73,51;59,69;68,15;-;57,38
".. Amazonas";108,68;21,17;86,73;108,21;65,40;72,42;-;66,09
".. Roraima";122,06;74,29;103,03;112,89;94,96;89,50;-;85,25
".. Pará";85,43;10,52;83,76;80,62;60,82;61,00;0,00;54,60
".. Amapá";104,39;34,62;76,07;93,36;77,63;80,61;-;66,67
".. Tocantins";115,70;57,18;108,06;87,81;96,23;100,32;-;80,76
"Região Nordeste";110,03;4,27;87,37;10,45;81,99;89,18;-;54,76
".. Maranhão";118,90;3,28;64,78;76,33;68,78;87,08;-;59,88
".. Piauí";108,22;-;83,15;1,27;86,12;86,29;-;52,15
".. Ceará";100,44;1,02;90,05;0,63;88,58;90,77;-;53,07
".. Rio Grande do Norte";92,47;0,73;73,31;0,49;77,63;74,91;-;45,65
".. Paraíba";103,05;0,56;87,05;0,12;83,65;83,12;-;51,08
".. Pernambuco";133,72;1,31;131,43;0,18;100,38;113,48;-;68,64
".. Alagoas";96,86;4,38;60,33;0,01;58,18;61,49;-;40,18
".. Sergipe";125,01;1,26;98,19;0,02;98,26;96,44;-;59,88
".. Bahia";105,02;11,82;80,54;0,83;76,84;86,40;-;51,63
"Região Sudeste";117,59;6,60;103,90;6,51;107,66;108,81;0,52;64,51
".. Minas Gerais";86,92;1,18;82,20;14,57;83,53;82,96;0,00;50,19
".. Espírito Santo";116,11;100,01;120,33;0,03;104,00;107,62;-;78,30
".. Rio de Janeiro";124,32;1,88;102,14;0,03;110,61;103,65;0,01;63,23
".. São Paulo";131,59;2,79;114,70;5,25;119,79;124,72;1,03;71,41
"Região Sul";104,64;33,72;91,35;0,25;91,19;98,00;0,72;59,98
".. Paraná";112,12;44,53;96,47;0,03;95,74;113,72;1,76;66,34
".. Santa Catarina";94,49;68,98;88,54;0,21;88,60;92,18;-;61,86
".. Rio Grande do Sul";102,25;2,18;87,38;0,51;87,73;84,22;0,00;52,04
"Região Centro-Oeste";117,64;18,75;101,91;54,61;96,84;74,78;7,57;67,44
".. Mato Grosso do Sul";113,70;0,71;93,79;70,34;88,79;90,18;-;65,36
".. Mato Grosso";112,27;5,75;109,78;70,74;94,15;95,64;-;69,76
".. Goiás";105,67;5,36;91,10;59,51;88,63;86,15;-;62,35
".. Distrito Federal";159,36;89,69;127,57;3,46;130,00;1,30;45,09;79,50
"Ignorado/Exterior";...;...;...;...;...;...;...;...
"Total";111,61;12,63;95,30;18,49;92,97;95,26;0,84;61,01
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

