 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Região/Unidade da Federação e Imuno
Período:2001
"Região/Unidade da Federação";"072 BCG";"073 Hepatite B";"074 Poliomielite";"006 Febre Amarela";"021 Tríplice Viral  D1";"075 DTP";"018 Sarampo";"009 Haemophilus influenzae b";"Total"
"Região Norte";119,05;80,33;105,86;105,01;55,14;87,85;113,45;80,72;83,06
".. Rondônia";114,36;98,90;104,77;114,25;93,85;104,50;103,37;103,24;93,03
".. Acre";134,96;77,99;113,91;102,46;67,82;79,12;96,80;63,22;81,78
".. Amazonas";108,31;66,13;90,00;98,87;27,69;72,37;94,82;65,48;69,26
".. Roraima";104,68;77,19;85,58;92,32;61,93;81,27;84,90;74,14;73,54
".. Pará";118,34;73,64;107,74;100,19;47,94;83,93;124,30;76,39;81,44
".. Amapá";181,41;156,27;155,06;178,09;131,68;156,41;163,82;148,03;141,22
".. Tocantins";122,08;100,11;118,44;106,25;82,17;106,32;108,37;99,66;93,71
"Região Nordeste";117,62;90,86;103,72;42,13;88,59;96,31;104,48;87,11;81,19
".. Maranhão";122,47;75,45;96,45;93,76;80,13;83,64;103,24;70,53;80,63
".. Piauí";116,52;95,29;106,39;61,18;95,28;99,80;103,51;91,46;85,48
".. Ceará";118,81;107,33;112,59;5,38;109,94;109,95;114,15;106,78;87,17
".. Rio Grande do Norte";107,28;88,03;91,46;2,73;39,50;92,02;96,79;81,27;66,40
".. Paraíba";121,52;96,64;103,87;0,41;95,42;102,80;107,26;92,33;79,99
".. Pernambuco";118,78;87,18;104,61;7,78;69,88;89,59;105,86;77,65;73,48
".. Alagoas";111,00;76,94;86,47;0,27;59,09;83,96;92,68;77,01;65,28
".. Sergipe";112,29;92,74;101,53;3,38;102,22;100,87;105,51;95,79;79,43
".. Bahia";117,46;92,96;108,30;88,06;104,80;100,04;102,45;90,33;89,35
"Região Sudeste";107,92;93,75;100,79;26,37;101,30;98,65;104,14;97,26;81,26
".. Minas Gerais";102,86;94,13;99,22;83,62;101,89;97,25;101,65;95,79;86,26
".. Espírito Santo";106,58;98,52;109,82;21,89;99,75;101,31;102,25;94,05;81,62
".. Rio de Janeiro";106,79;86,26;94,07;1,69;90,78;91,77;100,32;89,10;73,55
".. São Paulo";111,03;96,00;103,34;7,36;105,13;101,77;107,04;101,43;81,68
"Região Sul";107,61;97,90;102,80;1,54;70,53;102,70;104,49;101,79;76,54
".. Paraná";112,38;101,45;105,76;0,25;101,36;105,64;107,67;103,84;82,19
".. Santa Catarina";104,27;98,88;105,67;3,22;101,09;105,04;105,90;105,02;81,18
".. Rio Grande do Sul";104,48;93,66;98,15;1,96;22,85;98,35;100,40;97,90;68,13
"Região Centro-Oeste";115,75;91,94;105,71;84,38;96,27;100,23;84,62;98,85;86,43
".. Mato Grosso do Sul";120,00;97,81;111,29;109,36;99,93;105,26;105,60;106,15;95,05
".. Mato Grosso";115,54;88,94;117,54;110,61;88,61;100,82;116,17;94,24;92,50
".. Goiás";110,42;91,28;101,08;101,72;95,71;97,73;101,25;96,63;88,44
".. Distrito Federal";122,91;91,43;97,51;0,65;102,22;100,28;0,04;101,93;68,64
"Ignorado/Exterior";...;...;...;...;...;...;...;...;...
"Total";112,60;91,88;102,83;40,24;88,43;97,45;103,85;93,10;81,18
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

