 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Região/Unidade da Federação e Imuno
Período:1996
"Região/Unidade da Federação";"072 BCG";"073 Hepatite B";"074 Poliomielite";"006 Febre Amarela";"075 DTP";"018 Sarampo";"009 Haemophilus influenzae b";"Total"
"Região Norte";107,61;47,33;61,96;35,17;74,15;66,23;-;56,06
".. Rondônia";104,31;74,41;73,78;66,06;77,08;82,64;-;68,33
".. Acre";84,33;47,67;61,34;30,00;51,06;54,94;-;47,05
".. Amazonas";112,77;52,97;84,96;69,11;57,91;71,18;-;64,13
".. Roraima";126,51;78,27;83,36;46,30;89,09;88,12;-;73,09
".. Pará";107,83;34,69;47,88;17,94;82,46;59,08;-;49,98
".. Amapá";118,90;66,18;71,93;4,42;71,10;70,21;-;57,53
".. Tocantins";101,56;53,30;64,37;25,53;68,48;71,43;-;54,95
"Região Nordeste";100,98;0,04;72,97;1,58;66,11;73,29;-;45,00
".. Maranhão";100,79;0,14;38,44;10,81;57,22;72,64;-;40,01
".. Piauí";100,88;0,00;64,35;1,15;70,79;71,03;-;44,03
".. Ceará";133,29;0,03;103,09;-;93,27;98,43;-;61,16
".. Rio Grande do Norte";91,84;0,00;66,30;-;72,87;76,77;-;43,97
".. Paraíba";88,69;0,01;74,99;-;69,65;74,38;-;43,96
".. Pernambuco";119,72;0,08;119,08;0,00;74,82;87,24;-;57,28
".. Alagoas";77,34;0,06;40,02;-;39,30;43,11;-;28,55
".. Sergipe";116,50;0,01;87,14;-;81,02;83,71;-;52,63
".. Bahia";80,58;0,00;55,77;0,00;51,33;56,61;-;34,90
"Região Sudeste";107,16;5,39;93,87;0,02;89,67;91,28;0,00;55,34
".. Minas Gerais";...;...;...;...;...;...;...;...
".. Espírito Santo";99,67;85,76;80,89;-;88,02;94,09;-;64,06
".. Rio de Janeiro";97,88;0,05;76,30;0,08;72,37;79,64;0,00;46,62
".. São Paulo";111,18;-;101,36;-;96,03;95,20;-;57,68
"Região Sul";100,73;53,60;85,23;0,01;83,84;87,34;0,09;58,69
".. Paraná";103,76;89,96;91,28;0,02;91,27;90,28;0,00;66,65
".. Santa Catarina";102,46;82,64;83,81;0,01;79,60;87,83;0,41;62,39
".. Rio Grande do Sul";96,65;0,05;79,90;-;78,73;84,09;-;48,49
"Região Centro-Oeste";109,52;19,48;80,57;19,32;81,74;73,74;-;54,91
".. Mato Grosso do Sul";101,50;0,03;68,82;34,01;69,65;77,15;-;50,16
".. Mato Grosso";98,14;0,97;68,61;18,02;72,57;78,68;-;48,14
".. Goiás";108,30;2,40;82,35;21,46;81,46;79,55;-;53,64
".. Distrito Federal";136,31;102,91;105,49;0,92;107,72;50,59;-;71,99
"Ignorado/Exterior";...;...;...;...;...;...;...;...
"Total";104,19;16,50;80,85;5,65;78,24;80,39;0,01;52,26
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

