 Imunizações - Cobertura - Brasil
Doses Cáculos CV por Unidade da Federação e Imuno
Período:2002
"Unidade da Federação";"072 BCG";"073 Hepatite B";"074 Poliomielite";"006 Febre Amarela";"021 Tríplice Viral  D1";"075 DTP";"018 Sarampo";"009 Haemophilus influenzae b";"Total"
"11 Rondônia";32122;29065;30817;31431;29613;10392;30157;10530;204127
"12 Acre";21053;13450;19380;16027;15576;4696;12684;2451;105317
"13 Amazonas";85867;52633;73211;71658;57276;31976;67140;27657;467418
"14 Roraima";10510;7659;8389;9340;7224;2472;8389;1854;55837
"15 Pará";200764;135118;187192;150886;187586;103402;184689;66702;1216339
"16 Amapá";18320;12879;13382;14052;13121;4275;7744;4096;87869
"17 Tocantins";30838;26177;29059;29620;24242;6683;26980;5494;179093
"21 Maranhão";169504;113703;137927;140656;113682;63392;143910;44723;927497
"22 Piauí";64959;55381;63056;48455;55877;42556;58032;39089;427405
"23 Ceará";175195;158831;164480;1225;162136;59562;167416;49626;938471
"24 Rio Grande do Norte";60832;51962;50274;939;40330;21377;49833;16412;291959
"25 Paraíba";75091;64315;67009;70;62933;37739;67546;34065;408768
"26 Pernambuco";193289;152687;161937;12656;138903;60554;167433;45184;932643
"27 Alagoas";81899;63718;66037;99;63859;27916;69106;24478;397112
"28 Sergipe";38982;37597;38291;109;41220;16158;40302;15225;227884
"29 Bahia";286698;224198;249000;233170;231982;152582;248824;114501;1740955
"31 Minas Gerais";313831;291121;293564;221342;317671;115664;240688;111800;1905681
"32 Espírito Santo";59804;56558;63269;2272;57680;17590;55103;14826;327102
"33 Rio de Janeiro";256191;206727;259159;882;233172;155852;228147;141628;1481758
"35 São Paulo";678785;584346;597184;54184;664127;206050;625130;205589;3615395
"41 Paraná";176326;164215;169527;822;170140;87976;162395;86682;1018083
"42 Santa Catarina";88098;84772;84956;4244;80497;31509;85529;31123;490728
"43 Rio Grande do Sul";160980;139827;145203;5355;138982;56265;149160;53380;849152
"50 Mato Grosso do Sul";45898;38853;45659;43021;40157;20874;39878;19687;294027
"51 Mato Grosso";57283;45087;56929;54293;47769;23197;52454;20323;357335
"52 Goiás";105909;85325;93205;96146;92190;66820;95943;56735;692273
"53 Distrito Federal";53535;42212;44532;91;46854;7936;-;8357;203517
"00 Ignorado/exterior";-;-;-;-;-;-;-;-;-
"Total";3542563;2938416;3212628;1243045;3134799;1435465;3084612;1252217;19843745
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

