 Imunizações - Cobertura - Brasil
Doses Cáculos CV por Unidade da Federação e Imuno
Período:2006
"Unidade da Federação";"072 BCG";"061 Rotavírus Humano";"073 Hepatite B";"074 Poliomielite";"006 Febre Amarela";"021 Tríplice Viral  D1";"075 DTP";"Total"
"11 Rondônia";30194;12711;28436;30436;29832;31243;30025;192877
"12 Acre";19080;2894;14132;15567;13783;14939;14495;94890
"13 Amazonas";96372;25097;65254;67905;69629;78124;69030;471411
"14 Roraima";11074;3543;8134;8723;8708;9039;8615;57836
"15 Pará";210510;39821;158154;174558;148125;169799;163761;1064728
"16 Amapá";17901;5043;13365;13882;12636;13301;13621;89749
"17 Tocantins";29048;12618;27570;28344;26207;26276;28300;178363
"21 Maranhão";176834;42074;135882;145927;136384;141181;139081;917363
"22 Piauí";60357;20871;56275;59557;55193;58052;58200;368505
"23 Ceará";148681;56340;140885;147449;421;142175;143925;779876
"24 Rio Grande do Norte";56634;16943;49084;49540;454;51770;49990;274415
"25 Paraíba";75810;32759;64497;66900;206;68043;66669;374884
"26 Pernambuco";170353;63260;148713;160132;484;160814;157864;861620
"27 Alagoas";67527;18018;57450;59742;76;59752;60275;322840
"28 Sergipe";39404;19256;35012;36879;14;35538;36707;202810
"29 Bahia";262055;89849;228330;241648;228304;252045;239596;1541827
"31 Minas Gerais";284161;152106;275548;282084;272782;281500;282483;1830664
"32 Espírito Santo";54744;30666;53039;57852;18729;56270;54924;326224
"33 Rio de Janeiro";248536;106121;209958;227051;490;223060;213935;1229151
"35 São Paulo";630269;339026;585658;602946;69378;610527;594758;3432562
"41 Paraná";160282;76997;154836;158957;64933;155458;159963;931426
"42 Santa Catarina";85645;48441;83512;85546;7643;84992;86265;482044
"43 Rio Grande do Sul";144276;63262;134740;140058;6936;142821;140677;772770
"50 Mato Grosso do Sul";41219;21866;40387;41335;39201;41208;41501;266717
"51 Mato Grosso";55447;14283;48952;54276;52213;54388;52540;332099
"52 Goiás";102954;29579;91369;96750;96025;96023;96334;609034
"53 Distrito Federal";49407;26368;44034;44907;704;44658;43925;254003
"00 Ignorado/exterior";-;-;-;-;-;-;-;-
"Total";3328774;1369812;2953206;3098951;1359490;3102996;3047459;18260688
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

