 Imunizações - Cobertura - Brasil
Doses Cáculos CV por Unidade da Federação e Imuno
Período:1999
"Unidade da Federação";"072 BCG";"073 Hepatite B";"074 Poliomielite";"006 Febre Amarela";"021 Tríplice Viral  D1";"075 DTP";"018 Sarampo";"009 Haemophilus influenzae b";"Total"
"11 Rondônia";34723;28973;29458;31556;-;29427;29884;129;184150
"12 Acre";13272;15530;10469;13532;-;7595;10149;-;70547
"13 Amazonas";81282;44549;58301;65102;539;48127;57211;84;355195
"14 Roraima";10290;7151;7421;7343;8;7145;7188;-;46546
"15 Pará";154564;97858;132469;142359;1;107366;130871;6326;771814
"16 Amapá";16823;10590;10855;11967;-;11025;12681;-;73941
"17 Tocantins";32959;26746;29649;28365;95;27616;27643;22;173095
"21 Maranhão";161104;46637;90150;102066;79399;91217;122589;-;693162
"22 Piauí";68361;8583;57141;7221;45813;55005;57474;201;299799
"23 Ceará";201012;100287;175127;24029;168021;171331;188586;15282;1043675
"24 Rio Grande do Norte";59916;22184;45565;733;32036;49756;51236;17;261443
"25 Paraíba";76334;32459;67219;1142;56872;65654;66376;58;366114
"26 Pernambuco";217701;132109;196252;677;43;159566;180931;6798;894077
"27 Alagoas";75639;37220;57632;1029;391;53253;57381;561;283106
"28 Sergipe";49143;28491;41251;1;45371;39905;40617;-;244779
"29 Bahia";277616;217373;217784;94016;223656;210111;223206;4071;1467833
"31 Minas Gerais";338945;246916;303920;184467;296651;299821;313256;21617;2005593
"32 Espírito Santo";66231;60099;82737;32;61887;60277;60345;4940;396548
"33 Rio de Janeiro";310112;178220;235078;578;219422;235771;245751;37763;1462695
"35 São Paulo";801618;699282;698365;74613;758311;687411;717445;8505;4445550
"41 Paraná";201381;195198;174272;364;178471;174473;183606;3377;1111142
"42 Santa Catarina";96205;83100;89362;167;91607;88638;90648;4290;544017
"43 Rio Grande do Sul";190636;191020;163749;310;158048;164728;162800;1385;1032676
"50 Mato Grosso do Sul";48854;27745;41443;37094;37869;37996;44711;120;275832
"51 Mato Grosso";56287;39315;58201;39957;41834;46682;50892;1226;334394
"52 Goiás";106840;89187;96888;73293;73646;91205;95419;8506;634984
"53 Distrito Federal";65233;47828;50525;2715;52578;50104;2;40249;309234
"00 Ignorado/exterior";-;-;-;-;-;-;-;-;-
"Total";3813081;2714650;3221283;944728;2622569;3071205;3228898;165527;19781941
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

