 Imunizações - Cobertura - Brasil
Doses Cáculos CV por Unidade da Federação e Imuno
Período:2005
"Unidade da Federação";"072 BCG";"073 Hepatite B";"074 Poliomielite";"006 Febre Amarela";"021 Tríplice Viral  D1";"075 DTP";"Total"
"11 Rondônia";30823;28632;30979;29540;32592;30543;183109
"12 Acre";19076;14188;16242;13708;16428;15493;95135
"13 Amazonas";95910;62543;66858;65464;76458;67736;434969
"14 Roraima";10401;8504;9727;9229;11260;9308;58429
"15 Pará";214006;155021;179784;150184;169489;167556;1036040
"16 Amapá";17461;12906;14090;12762;14039;13622;84880
"17 Tocantins";29242;27117;28042;26348;26653;27804;165206
"21 Maranhão";173280;130666;147343;133273;148288;137359;870209
"22 Piauí";62071;54008;58397;53773;58442;57213;343904
"23 Ceará";166229;149067;155080;107;154706;152160;777349
"24 Rio Grande do Norte";58756;49547;51540;703;52540;50812;263898
"25 Paraíba";81072;65152;67432;166;69052;66977;349851
"26 Pernambuco";178077;150752;166528;1837;165682;161010;823886
"27 Alagoas";72114;59476;62678;43;66897;63570;324778
"28 Sergipe";39174;33875;36318;5;35068;36300;180740
"29 Bahia";284362;233983;250978;236845;269627;248567;1524362
"31 Minas Gerais";301041;281810;292643;281407;297080;293043;1747024
"32 Espírito Santo";57031;54095;58792;18147;57746;56334;302145
"33 Rio de Janeiro";257800;215451;265565;768;240496;227568;1207648
"35 São Paulo";658767;602192;599478;65079;632327;606995;3164838
"41 Paraná";167380;155907;159890;348;160090;160253;803868
"42 Santa Catarina";87328;83612;85835;7859;85526;86375;436535
"43 Rio Grande do Sul";151953;137394;143738;7604;149274;144419;734382
"50 Mato Grosso do Sul";42562;39712;41637;38894;40607;41672;245084
"51 Mato Grosso";59693;50661;59210;52434;57449;55210;334657
"52 Goiás";106460;86834;95199;96021;97387;96848;578749
"53 Distrito Federal";50179;43201;44364;43;45962;43656;227405
"00 Ignorado/exterior";-;-;-;-;-;-;-
"Total";3472248;2986306;3188367;1302591;3231165;3118403;17299080
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

