 Imunizações - Cobertura - Brasil
Doses Cáculos CV por Unidade da Federação e Imuno
Período:2011
"Unidade da Federação";"072 BCG";"061 Rotavírus Humano";"053 Meningococo C";"073 Hepatite B";"012 Pneumocócica";"074 Poliomielite";"006 Febre Amarela";"021 Tríplice Viral  D1";"075 DTP";"Total"
"11 Rondônia";27586;23068;31289;26428;23674;27986;26991;26785;27889;241696
"12 Acre";18481;12186;12675;15809;8571;18717;16246;17749;16343;136777
"13 Amazonas";88693;48502;62987;68315;46429;65908;67978;71599;69013;589424
"14 Roraima";11086;7026;9043;8990;7142;9203;8971;9440;9241;80142
"15 Pará";171319;101994;87855;137930;66048;144821;136890;155818;137103;1139778
"16 Amapá";15974;9737;10693;12649;8834;12092;11543;13295;12858;107675
"17 Tocantins";25555;21502;29489;24546;23485;24813;23263;22767;25065;220485
"21 Maranhão";151712;96183;87112;119917;62724;127189;125465;139440;123978;1033720
"22 Piauí";51094;43354;55315;49487;40008;50275;47334;49534;50697;437098
"23 Ceará";139239;116195;130016;129085;107261;131381;146;145731;131536;1030590
"24 Rio Grande do Norte";58282;40365;44188;47684;39305;47370;39;48636;47447;373316
"25 Paraíba";68059;50640;49600;58986;49728;61192;247;61413;61093;460958
"26 Pernambuco";156620;127289;153355;146081;131448;155417;533;161186;151845;1183774
"27 Alagoas";55394;38738;48826;49829;37705;50258;150;49891;50105;380896
"28 Sergipe";34600;33362;36116;35815;32985;36283;39;34399;36251;279850
"29 Bahia";229056;169554;203440;208854;144666;211820;200814;218296;214740;1801240
"31 Minas Gerais";259580;242781;267561;247345;255486;260449;251089;254340;262919;2301550
"32 Espírito Santo";53146;49955;62898;53492;54650;55711;339;53397;54516;438104
"33 Rio de Janeiro";246971;184993;231487;205330;150354;242886;717;232066;211039;1705843
"35 São Paulo";620629;562206;730347;594053;518358;600168;122354;600450;590306;4938871
"41 Paraná";158910;139037;179665;150420;140492;152898;115591;147061;154522;1338596
"42 Santa Catarina";89036;80707;109336;84462;85750;84429;24134;83265;85386;726505
"43 Rio Grande do Sul";135249;112343;156465;125131;124003;127058;46560;125456;126504;1078769
"50 Mato Grosso do Sul";43275;37470;45621;40252;36147;38467;39824;38768;41605;361429
"51 Mato Grosso";50895;42803;51891;48014;36101;50028;46493;47729;48088;422042
"52 Goiás";105101;80881;108044;87792;87303;93671;94410;101044;91543;849789
"53 Distrito Federal";43221;34420;47787;37546;32823;37989;1695;39324;37260;312065
"00 Ignorado/exterior";-;-;-;-;-;-;-;-;-;-
"Total";3108763;2507291;3043101;2814242;2351480;2918479;1409855;2948879;2868892;23970982
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

