 Imunizações - Cobertura - Brasil
Doses Cáculos CV por Unidade da Federação e Imuno
Período:2000
"Unidade da Federação";"072 BCG";"073 Hepatite B";"074 Poliomielite";"006 Febre Amarela";"021 Tríplice Viral  D1";"075 DTP";"018 Sarampo";"009 Haemophilus influenzae b";"Total"
"11 Rondônia";34654;29354;30687;35284;5289;31847;31248;30443;228806
"12 Acre";17101;9244;14104;13711;4194;9905;14345;2423;85027
"13 Amazonas";84148;45870;73492;71500;10401;53140;80514;44970;464035
"14 Roraima";18261;11975;13067;13767;2470;12569;13227;10948;96284
"15 Pará";162481;100042;171439;134865;15187;107001;175528;121779;988322
"16 Amapá";16755;12475;12979;13213;747;12206;13922;8103;90400
"17 Tocantins";31203;26810;30017;28489;47;28436;29120;22319;196441
"21 Maranhão";163096;86604;108016;132887;104213;98264;137678;33568;864326
"22 Piauí";68393;55833;60347;41847;43179;55552;61918;40174;427243
"23 Ceará";193388;165180;172936;46403;143849;168912;189395;131881;1211944
"24 Rio Grande do Norte";58329;48777;48976;2068;26265;49831;57236;31770;323252
"25 Paraíba";72677;63807;65759;203;48076;63922;66801;56404;437649
"26 Pernambuco";203858;152321;186398;14716;47724;154482;187929;128624;1076052
"27 Alagoas";78991;56026;64177;921;7305;59789;67824;46050;381083
"28 Sergipe";46739;41313;41485;4130;38301;40907;45622;38530;297027
"29 Bahia";289827;211346;251056;203099;205933;233204;274946;183474;1852885
"31 Minas Gerais";372241;367589;352352;153817;304194;348167;359654;319362;2577376
"32 Espírito Santo";61956;57064;63352;26845;40128;58457;60587;53852;422241
"33 Rio de Janeiro";282577;218276;243444;13717;231596;236201;262297;238643;1726751
"35 São Paulo";759875;667496;702565;58721;723392;688871;741685;792410;5135015
"41 Paraná";199414;178676;187300;569;163436;186469;197887;192948;1306699
"42 Santa Catarina";100736;91282;97263;529;90627;97752;101496;101399;681084
"43 Rio Grande do Sul";181810;167478;172072;590;140940;172312;169601;137098;1141901
"50 Mato Grosso do Sul";49227;39268;45601;44439;46470;40019;48126;26274;339424
"51 Mato Grosso";60344;43424;66803;59351;32414;50020;62765;39869;414990
"52 Goiás";103027;85924;101467;135504;77855;91794;105868;81443;782882
"53 Distrito Federal";61784;41670;47765;2711;48932;47725;12;51474;302073
"00 Ignorado/exterior";-;-;-;-;-;-;-;-;-
"Total";3772892;3075124;3424919;1253896;2603164;3197754;3557231;2966232;23851212
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

