 Imunizações - Cobertura - Brasil
Doses Cáculos CV por Unidade da Federação e Imuno
Período:1996
"Unidade da Federação";"072 BCG";"073 Hepatite B";"074 Poliomielite";"006 Febre Amarela";"075 DTP";"018 Sarampo";"009 Haemophilus influenzae b";"Total"
"11 Rondônia";39713;28328;28089;25151;29346;31463;-;182090
"12 Acre";11755;6645;8550;4182;7117;7658;-;45907
"13 Amazonas";70259;33001;52932;43060;36077;44345;-;279674
"14 Roraima";9221;5705;6076;3375;6494;6423;-;37294
"15 Pará";168961;54351;75020;28105;129217;92570;-;548224
"16 Amapá";12964;7216;7842;482;7752;7655;-;43911
"17 Tocantins";27987;14689;17739;7036;18871;19684;-;106006
"21 Maranhão";154758;218;59027;16598;87857;111527;-;429985
"22 Piauí";68633;1;43783;780;48163;48327;-;209687
"23 Ceará";219717;44;169939;-;153754;162252;-;705706
"24 Rio Grande do Norte";54767;1;39534;-;43456;45781;-;183539
"25 Paraíba";70470;9;59584;-;55341;59106;-;244510
"26 Pernambuco";206440;136;205333;1;129019;150430;-;691359
"27 Alagoas";55313;46;28625;-;28106;30834;-;142924
"28 Sergipe";46674;5;34910;-;32460;33537;-;147586
"29 Bahia";234200;3;162088;5;149187;164515;-;709998
"31 Minas Gerais";-;-;-;-;-;-;-;-
"32 Espírito Santo";60315;51896;48953;-;53269;56940;-;271373
"33 Rio de Janeiro";233867;124;182313;186;172921;190287;6;779704
"35 São Paulo";739514;-;674165;-;638748;633200;-;2685627
"41 Paraná";201168;174420;176974;41;176950;175028;2;904583
"42 Santa Catarina";111866;90217;91504;10;86906;95883;444;476830
"43 Rio Grande do Sul";184503;101;152530;-;150294;160524;-;647952
"50 Mato Grosso do Sul";46526;15;31546;15588;31926;35363;-;160964
"51 Mato Grosso";58633;582;40989;10767;43357;47010;-;201338
"52 Goiás";103246;2286;78502;20462;77654;75834;-;357984
"53 Distrito Federal";59238;44723;45843;399;46811;21986;-;219000
"00 Ignorado/exterior";-;-;-;-;-;-;-;-
"Total";3250708;514762;2522390;176228;2441053;2508162;452;11413755
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

