 Imunizações - Cobertura - Brasil
Doses Cáculos CV por Unidade da Federação e Imuno
Período:2009
"Unidade da Federação";"072 BCG";"061 Rotavírus Humano";"073 Hepatite B";"074 Poliomielite";"006 Febre Amarela";"021 Tríplice Viral  D1";"075 DTP";"Total"
"11 Rondônia";28068;23129;27819;29203;26679;26673;30008;191579
"12 Acre";18437;11575;16457;18696;16389;17438;16953;115945
"13 Amazonas";91384;49176;71028;70763;71456;77996;73296;505099
"14 Roraima";9809;7292;9596;9989;9690;9694;10177;66247
"15 Pará";183717;99741;148783;151337;153993;167763;145094;1050428
"16 Amapá";16551;11209;14401;18028;12657;14378;14889;102113
"17 Tocantins";25907;21924;26337;26851;24999;25654;26865;178537
"21 Maranhão";163890;96701;131014;138574;127142;145940;134417;937678
"22 Piauí";53339;45784;52226;52796;50995;52250;52588;359978
"23 Ceará";142003;119519;136150;138877;197;138839;139861;815446
"24 Rio Grande do Norte";53921;37383;47894;46932;183;49390;48248;283951
"25 Paraíba";70927;52457;63134;66042;222;62653;63985;379420
"26 Pernambuco";159999;128657;149089;154009;593;157727;152971;903045
"27 Alagoas";63047;44030;57272;58830;153;58424;58811;340567
"28 Sergipe";35626;32353;36220;37100;27;36023;37065;214414
"29 Bahia";232162;174058;217179;222669;218770;235271;224161;1524270
"31 Minas Gerais";260775;240537;261855;265414;260595;266063;266715;1821954
"32 Espírito Santo";52046;48622;52568;55226;5523;52733;53911;320629
"33 Rio de Janeiro";237316;173824;201511;236915;950;209411;205809;1265736
"35 São Paulo";613416;535972;585002;592976;102804;593206;581636;3605012
"41 Paraná";154659;133761;147577;149707;116398;149445;150311;1001858
"42 Santa Catarina";85419;78466;83958;85567;8933;86034;85569;513946
"43 Rio Grande do Sul";132519;112106;124959;127331;40103;127388;126586;790992
"50 Mato Grosso do Sul";41991;36897;41321;42716;40473;41120;43075;287593
"51 Mato Grosso";54025;43417;50067;52185;50167;50721;51393;351975
"52 Goiás";101125;77385;88793;91999;89758;93490;90976;633526
"53 Distrito Federal";49081;40791;43918;45042;1240;42308;44284;266664
"00 Ignorado/exterior";-;-;-;-;-;-;-;-
"Total";3131159;2476766;2886128;2985774;1431089;2988032;2929654;18828602
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

