 Imunizações - Cobertura - Brasil
Doses Cáculos CV por Unidade da Federação e Imuno
Período:1995
"Unidade da Federação";"072 BCG";"073 Hepatite B";"074 Poliomielite";"006 Febre Amarela";"075 DTP";"018 Sarampo";"009 Haemophilus influenzae b";"Total"
"11 Rondônia";37582;25885;25553;18374;26656;35880;-;169930
"12 Acre";15209;7083;6286;8720;6778;13442;-;57518
"13 Amazonas";64859;30838;35530;12244;38400;54741;-;236612
"14 Roraima";9129;3234;6645;2355;5856;8239;-;35458
"15 Pará";165165;47724;69625;19657;109933;140560;-;552664
"16 Amapá";9853;722;6232;4;7359;8389;-;32559
"17 Tocantins";-;-;-;-;-;-;-;-
"21 Maranhão";156901;5;65935;62785;90050;106609;-;482285
"22 Piauí";78481;8;43502;111;50980;42858;-;215940
"23 Ceará";217161;-;172611;-;167076;174274;-;731122
"24 Rio Grande do Norte";57094;1;42520;1;47219;48715;-;195550
"25 Paraíba";53389;-;31409;-;36136;39697;-;160631
"26 Pernambuco";206072;-;190263;3;140138;177743;-;714219
"27 Alagoas";57355;-;37786;-;32593;50568;-;178302
"28 Sergipe";46445;-;36212;-;33270;36376;-;152303
"29 Bahia";231238;-;138413;-;151790;200562;-;722003
"31 Minas Gerais";-;-;-;-;-;-;-;-
"32 Espírito Santo";60809;51245;43632;13;53541;53080;-;262320
"33 Rio de Janeiro";281375;8;211655;-;218564;194973;-;906575
"35 São Paulo";735265;-;645143;-;663982;649920;-;2694310
"41 Paraná";154457;51142;134528;134;134702;135404;-;610367
"42 Santa Catarina";121155;97514;103338;1;102642;104616;4;529270
"43 Rio Grande do Sul";191991;-;180572;-;180573;182521;-;735657
"50 Mato Grosso do Sul";-;-;-;-;-;-;-;-
"51 Mato Grosso";58319;13;34032;10839;42563;51206;-;196972
"52 Goiás";108401;11;80490;9491;82777;103470;-;384640
"53 Distrito Federal";720;577;-;-;-;-;-;1297
"00 Ignorado/exterior";-;-;-;-;-;-;-;-
"Total";3118425;316010;2341912;144732;2423578;2613843;4;10958504
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

