 Imunizações - Cobertura - Brasil
Doses Cáculos CV por Unidade da Federação e Imuno
Período:2008
"Unidade da Federação";"072 BCG";"061 Rotavírus Humano";"073 Hepatite B";"074 Poliomielite";"006 Febre Amarela";"021 Tríplice Viral  D1";"075 DTP";"Total"
"11 Rondônia";28357;21652;26839;28390;27975;27722;28880;189815
"12 Acre";19531;9934;15884;17025;15523;16941;15894;110732
"13 Amazonas";90910;43380;65253;65312;65673;76193;67634;474355
"14 Roraima";9599;6680;8264;9045;9272;9645;8756;61261
"15 Pará";193105;94086;154556;165702;151303;169131;154364;1082247
"16 Amapá";17469;10292;13778;14666;12943;14050;14858;98056
"17 Tocantins";27587;20940;25049;25666;24139;24785;25600;173766
"21 Maranhão";171935;88814;129774;138573;128550;146122;136995;940763
"22 Piauí";55908;44292;52236;52682;51816;53135;52936;363005
"23 Ceará";143279;118854;136138;141080;236;137930;138640;816157
"24 Rio Grande do Norte";53977;35759;45530;45992;125;47173;46109;274665
"25 Paraíba";76749;51313;60688;62870;308;63505;62596;378029
"26 Pernambuco";164432;123831;148541;154858;709;153462;152212;898045
"27 Alagoas";58684;39577;51597;52764;121;53964;52831;309538
"28 Sergipe";38240;32299;36133;36606;31;36456;36882;216647
"29 Bahia";235595;164636;212827;218189;210214;226172;219104;1486737
"31 Minas Gerais";270804;238697;258861;260047;252026;257779;262036;1800250
"32 Espírito Santo";52260;47104;50999;54226;17389;52034;51997;326009
"33 Rio de Janeiro";234436;164423;189767;233739;1621;206007;195259;1225252
"35 São Paulo";627559;522691;571913;581223;80821;581728;572337;3538272
"41 Paraná";155575;129536;143718;145522;110906;142751;146639;974647
"42 Santa Catarina";86004;75579;80934;82542;7566;82213;82798;497636
"43 Rio Grande do Sul";133708;109027;123174;126127;8176;128819;125766;754797
"50 Mato Grosso do Sul";42209;34948;38337;39933;37001;38198;40043;270669
"51 Mato Grosso";56127;40709;47954;52056;51175;49974;49543;347538
"52 Goiás";104499;74751;87714;91187;94036;92764;91910;636861
"53 Distrito Federal";47672;38563;42565;43812;22193;40429;42697;277931
"00 Ignorado/exterior";-;-;-;-;-;-;-;-
"Total";3196210;2382367;2819023;2939834;1381848;2929082;2875316;18523680
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

